# flightstates polar table 1.1
# own sink [m/s] of the glider in near-still air (mode per airspeed band [km/h])
glider;flights;seconds;25;30;35;40;45;50;55;60;65
_general;1488;15984722;;;-1.04;-1.19;-1.36;-1.48;-1.63;-1.79;-1.98
ozone zeolite 2 gt;357;3590678;;;-1.01;-1.13;-1.35;-1.55;-1.68;-1.84;-1.93
niviuk artik 6;94;850433;;;-1.21;-1.31;-1.39;-1.47;-1.46;;
0;76;504710;;;;-1.12;-1.34;-1.45;-1.68;-1.76;-1.72
ozone zeolite gt;71;479950;;-1.07;-1.07;-1.20;-1.40;-1.45;-1.53;-1.82;-2.03
ozone zeno 2;68;999301;;;;-1.17;-1.26;-1.42;-1.51;-1.94;-2.18
advance omega uls;63;455853;;;-0.98;-1.30;-1.44;-1.50;-1.69;-1.82;
ozone swift 5;38;150711;;;-1.18;-1.19;-1.34;-1.42;;;
ozone alpina 4;27;192454;;;-1.13;-1.21;-1.21;-1.31;-1.40;;
