# flightstates polar whiskers 1.0 — flight-cluster bootstrap, 200 draws, 90 % interval
glider;flights;band_kmh;mode;lo5;hi95;kept;floored;seconds_band;status
_general;1488;25;-0.06;;;;;696833;boden
_general;1488;30;-0.63;;;;;1556133;boden
_general;1488;35;-1.04;-1.06;-1.02;1.00;0.00;2588049;ok
_general;1488;40;-1.19;-1.21;-1.17;1.00;0.00;3157665;ok
_general;1488;45;-1.36;-1.38;-1.35;1.00;0.00;2942222;ok
_general;1488;50;-1.48;-1.51;-1.47;1.00;0.00;2231953;ok
_general;1488;55;-1.63;-1.67;-1.61;1.00;0.00;1397011;ok
_general;1488;60;-1.79;-1.87;-1.77;1.00;0.00;722856;ok
_general;1488;65;-1.98;-2.01;-1.93;1.00;0.00;313741;ok
ozone swift 5;38;25;-0.62;;;;;10553;boden
ozone swift 5;38;30;-1.07;-1.21;-1.03;0.79;0.17;25657;instabil
ozone swift 5;38;35;-1.18;-1.28;-0.97;1.00;0.00;39222;ok
ozone swift 5;38;40;-1.19;-1.38;-1.16;1.00;0.00;36839;ok
ozone swift 5;38;45;-1.34;-1.67;-1.21;1.00;0.00;22557;ok
ozone swift 5;38;50;-1.42;-1.76;-1.33;1.00;0.00;9334;ok
ozone swift 5;38;55;;-1.78;-1.28;0.42;0.00;2880;duenn
ozone swift 5;38;60;;;;;;583;duenn
ozone swift 5;38;65;;;;;;117;duenn
ozone alpina 4;27;25;-0.62;;;;;9287;boden
ozone alpina 4;27;30;-1.12;-1.16;-0.97;0.85;0.14;25974;instabil
ozone alpina 4;27;35;-1.13;-1.15;-1.12;1.00;0.00;48944;ok
ozone alpina 4;27;40;-1.21;-1.27;-1.14;1.00;0.00;54426;ok
ozone alpina 4;27;45;-1.21;-1.31;-1.18;1.00;0.00;34377;ok
ozone alpina 4;27;50;-1.31;-1.41;-1.21;1.00;0.00;12795;ok
ozone alpina 4;27;55;-1.40;-1.82;-1.38;0.56;0.00;3098;ok
ozone alpina 4;27;60;;;;;;603;duenn
ozone alpina 4;27;65;;;;;;154;duenn
ozone zeolite gt;71;25;-0.17;;;;;15815;boden
ozone zeolite gt;71;30;-1.07;-1.11;-0.98;0.99;0.01;41811;ok
ozone zeolite gt;71;35;-1.07;-1.10;-1.03;1.00;0.00;80511;ok
ozone zeolite gt;71;40;-1.20;-1.25;-1.10;1.00;0.00;106368;ok
ozone zeolite gt;71;45;-1.40;-1.43;-1.29;1.00;0.00;101480;ok
ozone zeolite gt;71;50;-1.45;-1.50;-1.42;1.00;0.00;70009;ok
ozone zeolite gt;71;55;-1.53;-1.76;-1.39;1.00;0.00;37335;ok
ozone zeolite gt;71;60;-1.82;-1.84;-1.69;1.00;0.00;15733;ok
ozone zeolite gt;71;65;-2.03;-2.43;-1.80;0.93;0.00;4726;ok
advance omega uls;63;25;-0.13;;;;;21684;boden
advance omega uls;63;30;-0.45;;;;;49299;boden
advance omega uls;63;35;-0.98;-1.21;-0.88;0.99;0.01;83157;ok
advance omega uls;63;40;-1.30;-1.33;-1.23;1.00;0.00;101958;ok
advance omega uls;63;45;-1.44;-1.48;-1.38;1.00;0.00;94304;ok
advance omega uls;63;50;-1.50;-1.56;-1.45;1.00;0.00;59564;ok
advance omega uls;63;55;-1.69;-1.77;-1.58;1.00;0.00;26701;ok
advance omega uls;63;60;-1.82;-1.85;-1.25;1.00;0.00;9033;ok
advance omega uls;63;65;;-2.50;-1.23;0.24;0.01;2514;duenn
ozone zeolite 2 gt;357;25;-0.07;;;;;161571;boden
ozone zeolite 2 gt;357;30;-0.42;;;;;360562;boden
ozone zeolite 2 gt;357;35;-1.01;-1.03;-0.95;1.00;0.00;585891;ok
ozone zeolite 2 gt;357;40;-1.13;-1.17;-1.09;1.00;0.00;700933;ok
ozone zeolite 2 gt;357;45;-1.35;-1.37;-1.31;1.00;0.00;664001;ok
ozone zeolite 2 gt;357;50;-1.55;-1.57;-1.52;1.00;0.00;518712;ok
ozone zeolite 2 gt;357;55;-1.68;-1.74;-1.62;1.00;0.00;326092;ok
ozone zeolite 2 gt;357;60;-1.84;-1.91;-1.78;1.00;0.00;152977;ok
ozone zeolite 2 gt;357;65;-1.93;-1.98;-1.84;1.00;0.00;51910;ok
ozone zeno 2;68;25;0.22;;;;;34585;boden
ozone zeno 2;68;30;-0.28;;;;;78937;boden
ozone zeno 2;68;35;-0.83;-1.03;-0.85;0.27;0.73;140142;boden
ozone zeno 2;68;40;-1.17;-1.18;-1.05;1.00;0.00;183599;ok
ozone zeno 2;68;45;-1.26;-1.36;-1.21;1.00;0.00;185710;ok
ozone zeno 2;68;50;-1.42;-1.45;-1.40;1.00;0.00;155765;ok
ozone zeno 2;68;55;-1.51;-1.68;-1.48;1.00;0.00;106957;ok
ozone zeno 2;68;60;-1.94;-2.12;-1.78;1.00;0.00;60126;ok
ozone zeno 2;68;65;-2.18;-2.24;-2.01;1.00;0.00;28675;ok
niviuk artik 6;94;25;-0.23;;;;;74628;boden
niviuk artik 6;94;30;-0.88;-0.97;-0.88;0.24;0.33;150297;anker
niviuk artik 6;94;35;-1.21;-1.24;-1.12;1.00;0.00;213489;ok
niviuk artik 6;94;40;-1.31;-1.35;-1.23;1.00;0.00;201934;ok
